"id","bl_id","ldraw_id","lego_id","name","bl_name","lego_name","ldraw_rgb","rgb"
"1","41","118","118","Aqua","Aqua","Light bluish green","B7D7D5","B7D7D5"
"2","11","0","26","Black","Black","Black","212121","1B2A34"
"3","116","75","","BlackCopperGlitter","Speckle Black-Copper","","000000",""
"4","111","132","132","BlackGlitter","Speckle Black-Silver","[Black Glitter]","000000",""
"5","151","","","BlackGoldGlitter","Speckle Black-Gold ","","",""
"6","7","1","23","Blue","Blue","Bright Blue","0033B2","0D69AB"
"7","36","10","37","BtGreen","Bright Green","Bright Green","6BEE90","4B974A"
"8","","","","BtLtBlue","","","",""
"9","110","191","191","BtLtOrange","Bright Light Orange","Flame yellowish orange","E8AB2D","E8AB2D"
"10","","","","BtPink","","","",""
"11","93","69","198","BtPurple","Light Purple","Bright Reddish Lilac","CD6298","8E4285"
"12","122","64","","ChromeBlack","Chrome Black","","1B2A34",""
"13","52","61","","ChromeBlue","Chrome Blue","","5C66A4",""
"14","57","60","","ChromeBrass","Chrome Antique Brass","","645A4C",""
"15","21","334","","ChromeGold","Chrome Gold","","E16E13",""
"16","64","62","","ChromeGreen","Chrome Green","","3CB371",""
"17","82","63","","ChromePink","Chrome Pink","","AA4D8E",""
"18","22","383","301","ChromeSilver","Chrome Silver","[Silver]","E0E0E0",""
"19","12","47","40","Clear","Trans-Clear","Transparent","FFFFFF","ECECEC"
"20","101","117","117","ClearGlitter","Glitter Trans-Clear","[Transparent Glitter]","FFFFFF",""
"21","103","226","226","CoolYellow","Bright Light Yellow","Cool Yellow","FDEA8C","FDEA8C"
"22","","","180","Curry","","Curry","","D7A94B"
"23","120","308","308","DkBrown","Dark Brown","Dark Brown","352100",""
"24","91","86","217","DkFlesh","Dark Flesh","Brown","7C5C45","7C5C45"
"25","80","288","141","DkGreen","Dark Green","Earth Green","27462C","27462C"
"26","","","128","DkNougat","","Dark Nougat","","AE7A59"
"27","68","484","38","DkOrange","Dark Orange","Dark Orange","B33E00","A05F34"
"28","47","5","22","DkPink","Dark Pink","Med. reddish violet","DF6695","C470A0"
"29","59","320","154","DkRed","Dark Red","Dark red","78001C","7B2E2F"
"30","109","23","196","DkRoyalBlue","Dark Blue-Violet","Dark Royal blue","4732B0",""
"31","85","72","199","DkStone","Dark Bluish Gray","Dark stone grey","635F61","635F61"
"32","117","76","","DkStoneGlitter","Speckle DBGray-Silver","","635F61",""
"33","69","28","138","DkTan","Dark Tan","Sand yellow","C59750","958A73"
"34","87","232","232","DoveBlue","Sky Blue","Dove blue","7DBBDD","7DBBDD"
"35","94","","","DuploRose","Medium Dark Pink","","",""
"36","29","366","12","EarthOrange","Earth Orange","Light orange brown","D18304","CB8442"
"37","","","176","FFRed","","Red Flip/Flop","",""
"38","","","178","FFYellow","","Yellow Flip/Flop","",""
"39","106","","","FabuBrown","Fabuland Brown","","",""
"40","","","","FabuLime","","","",""
"41","","","","FabuOrange","","","",""
"42","28","92","18","Flesh","Flesh","Nougat","CC8E68","CC8E68"
"43","46","21","50","GlowInTheDark","Glow In Dark Opaque","Phosp. White","E0FFB0","ECE8DE"
"44","6","2","28","Green","Green","Dark green","008C14","287F46"
"45","34","27","119","Lime","Lime","Br. yellowish green","D7F000","A4BD46"
"46","62","9","45","LtBlue","Light Blue","Light blue","6BABDC","B4D2E3"
"47","90","78","283","LtFlesh","Light Flesh","Light Nougat","FAD7C3",""
"48","38","17","6","LtGreen","Light Green","Light green","BAFFCE","C2DAB8"
