"4275","4275b","Hinge Plate 1x2 with 3 Fingers"
"3069bpx19","3069bpc3","Tile 1x2 with Red 82, Yellow and White Gauges Pattern"
"54200","50746","Slope Brick 31 1x1x2/3 (Cheese Wedge)"
"2412b","30244","Tile, Modified 1x2 Grille with Bottom Groove"
"6014b","6014","Wheel 11.5mm D. x 12 mm, hole notched for wheels holder pin"
"4265c","32123a","Technic Bush 1/2 Smooth"
"4073","6141","Plate 1 x 1 Round"
"3070b","30039","Tile 1 x 1 with Groove"
"91968c01","64422","Train Buffer Beam with Sealed Magnets - Type 2"
"4092","4092a","Train Bogie Plate with Pin"
"3005","30071","Brick 1 x 1"
"30241","60475","Brick 1 x 1 with Clip Vertical"
"3069bpx40","3069bp0c","Tile 1x2 with Envelope, Cursive Script and Seal Pattern"
"4345","30060","Container, Box 2x2x2"
"4218","4218a","Garage Roller Door Section with Handle"
"4219","4219a","Garage Roller Door Section without Handle"
"60603","86210","Glass for Window 1 x 4 x 3 Opening"
"91968c01","64424","Train Buffer Beam with Sealed Magnets - Type 2"
"4025","4092b","Train Bogie Plate"
"3069px5","3069bp08","Tile 1 x 2 with Clock Digital Pattern"
"4345","4345b","Container, Box 2 x 2 x 2"
"4032","4032b","Plate, Round 2 x 2 with Axle Hole"
"4032","4032a","Plate, Round 2 x 2 with Axle Hole"
"3742c01","3741c01","Plant Flower Small, Sprue of Four"
"3857","3857h","Baseplate 16 x 32"
"2958","2723","Technic Disk 3 x 3"
"4592c02","4592c01","Lever Small Base with Black Lever"
"3040","3040b","Slope 45 2 x 1"
"3941","6143","Brick, Round 2 x 2"
"60657","3190","Door 1 x 3 x 3 Right"
"60658","3191","Door 1 x 3 x 3 Left"
"3044","3044b","Slope 45 2 x 1 Double"
"3070px3","3070bp01","Tile 1 x 1 with Number 1 Pattern"
"3070px4","3070bp02","Tile 1 x 1 with Number 2 Pattern"
"3070px5","3070bp03","Tile 1 x 1 with Number 3 Pattern"
"3070pb01","3070bp04","Tile 1 x 1 with Number 4 Pattern"
"3068px4","3068bp70","Tile 2 x 2 with Gauges Pattern"
